rentree_scolaire;academie;code_du_departement;departement;uai;nom;code_insee_de_la_commune;nom_de_la_commune;secteur;type_de_lycee;ips
2017-2018;VERSAILLES;91;ESSONNE;0910826D;LYCEE GENERAL ET TECHNOLOGIQUE PRIVE SAINT LOUIS SAINT CLEMENT;91687;VIRY CHATILLON;privé sous contrat;LEGT;134.6
2017-2018;VERSAILLES;91;ESSONNE;0911492C;LYCEE POLYVALENT L ESSOURIAU;91692;LES ULIS;public;LPO;112.9
2017-2018;VERSAILLES;91;ESSONNE;0911578W;LYCEE PROFESSIONNEL PIERRE MENDES FRANCE;91521;RIS ORANGIS;public;LP;80.8
2017-2018;VERSAILLES;91;ESSONNE;0911927A;LYCEE GENERAL ET TECHNOLOGIQUE MAURICE ELIOT;91215;EPINAY SOUS SENART;public;LEGT;103.9
2017-2018;VERSAILLES;91;ESSONNE;0911961M;LYCEE GENERAL ET TECHNOLOGIQUE EDMOND MICHELET;91021;ARPAJON;public;LEGT;120.6
2017-2018;VERSAILLES;92;HAUTS-DE-SEINE;0920131T;LYCEE GENERAL ET TECHNOLOGIQUE AUGUSTE RENOIR;92004;ASNIERES SUR SEINE;public;LEGT;105.2
2017-2018;VERSAILLES;92;HAUTS-DE-SEINE;0920132U;LYCEE GENERAL ET TECHNOLOGIQUE ALBERT CAMUS;92009;BOIS COLOMBES;public;LEGT;125.3
2017-2018;VERSAILLES;92;HAUTS-DE-SEINE;0920136Y;LYCEE POLYVALENT NEWTON ENREA;92024;CLICHY;public;LPO;94.9
2017-2018;VERSAILLES;92;HAUTS-DE-SEINE;0920143F;LYCEE GENERAL LA FOLIE SAINT JAMES;92051;NEUILLY SUR SEINE;public;LEGT;132
2017-2018;VERSAILLES;92;HAUTS-DE-SEINE;0920171L;LYCEE PROFESSIONNEL LOUIS BLERIOT LYCEE DES METIERS DE L ENERGIE;92073;SURESNES;public;LP;85.7
2017-2018;VERSAILLES;92;HAUTS-DE-SEINE;0920680P;LYCEE PROFESSIONNEL LEONARD DE VINCI;92007;BAGNEUX;public;LP;93
2017-2018;VERSAILLES;92;HAUTS-DE-SEINE;0920889S;LYCEE GENERAL ET TECHNOLOGIQUE PRIVE SAINTE GENEVIEVE;92004;ASNIERES SUR SEINE;privé sous contrat;LEGT;149.6
2017-2018;VERSAILLES;92;HAUTS-DE-SEINE;0920898B;LYCEE GENERAL ET TECHNOLOGIQUE PRIVE RAMBAM;92012;BOULOGNE BILLANCOURT;privé sous contrat;LEGT;145.5
2017-2018;VERSAILLES;92;HAUTS-DE-SEINE;0920928J;LYCEE GENERAL ET TECHNOLOGIQUE PRIVE LA SALLE PASSY BUZENVAL;92063;RUEIL MALMAISON;privé sous contrat;LEGT;149.6
2017-2018;VERSAILLES;92;HAUTS-DE-SEINE;0920937U;LYCEE GENERAL ET TECHNOLOGIQUE PRIVE SUGER;92076;VAUCRESSON;privé sous contrat;LEGT;134.6
2017-2018;VERSAILLES;92;HAUTS-DE-SEINE;0920981S;LYCEE PROFESSIONNEL PRIVE SAINT PHILIPPE;92048;MEUDON;privé sous contrat;LP;89
2017-2018;VERSAILLES;92;HAUTS-DE-SEINE;0921365J;LYCEE GENERAL ET TECHNOLOGIQUE PRIVE MADELEINE DANIELOU;92063;RUEIL MALMAISON;privé sous contrat;LEGT;151.7
2017-2018;VERSAILLES;92;HAUTS-DE-SEINE;0921555R;LYCEE GENERAL ET TECHNOLOGIQUE JACQUES MONOD;92023;CLAMART;public;LEGT;133
2017-2018;VERSAILLES;92;HAUTS-DE-SEINE;0921592F;LYCEE PROFESSIONNEL LES COTES DE VILLEBON LYCEE DES METIERS DE BOUCHE DU COMMERCE ET DE L INDUSTRIE;92048;MEUDON;public;LP;94.5
2017-2018;VERSAILLES;92;HAUTS-DE-SEINE;0921626T;LYCEE PROFESSIONNEL CLAUDE CHAPPE;92050;NANTERRE;public;LP;90.1
2017-2018;VERSAILLES;92;HAUTS-DE-SEINE;0921663H;LYCEE GENERAL ET TECHNOLOGIQUE PRIVE JEANNE D ARC;92025;COLOMBES;privé sous contrat;LEGT;134.3
2017-2018;VERSAILLES;92;HAUTS-DE-SEINE;0921932A;LYCEE PROFESSIONNEL PRIVE LA SALLE PASSY BUZENVAL;92063;RUEIL MALMAISON;privé sous contrat;LP;119
2017-2018;VERSAILLES;92;HAUTS-DE-SEINE;0922249V;LYCEE POLYVALENT MONTESQUIEU;92060;LE PLESSIS ROBINSON;public;LPO;111.4
2017-2018;VERSAILLES;92;HAUTS-DE-SEINE;0922427N;LYCEE POLYVALENT CLAUDE GARAMONT LYCEE DES METIERS DES INDUSTRIES ET ARTS GRAPHIQUES;92025;COLOMBES;public;LP;109
2017-2018;VERSAILLES;92;HAUTS-DE-SEINE;0922443F;LYCEE POLYVALENT ETIENNE JULES MAREY LYCEE DES METIERS DE LA PETITE ENFANCE ET DES SOINS A LA PERSONNE;92012;BOULOGNE BILLANCOURT;public;LPO;96.3
2017-2018;CRETEIL;93;SEINE-SAINT-DENIS;0930118Y;LYCEE GENERAL ET TECHNOLOGIQUE JEAN RENOIR;93010;BONDY;public;LEGT;91.9
2017-2018;CRETEIL;93;SEINE-SAINT-DENIS;0930120A;LYCEE GENERAL ET TECHNOLOGIQUE JACQUES FEYDER;93031;EPINAY SUR SEINE;public;LEGT;79.8
2017-2018;CRETEIL;93;SEINE-SAINT-DENIS;0930122C;LYCEE GENERAL ET TECHNOLOGIQUE CONDORCET;93048;MONTREUIL;public;LEGT;103.2
2017-2018;CRETEIL;93;SEINE-SAINT-DENIS;0930125F;LYCEE ENSEIGNEMENT GENERAL ET TECHNOLOGIQUE PAUL ELUARD;93066;SAINT DENIS;public;LEGT;83
2017-2018;CRETEIL;93;SEINE-SAINT-DENIS;0930133P;LYCEE PROFESSIONNEL THEODORE MONOD LYCEE DES METIERS DU COMMERCE ET DE LA VENTE;93053;NOISY LE SEC;public;LPO;75
2017-2018;CRETEIL;93;SEINE-SAINT-DENIS;0930136T;LYCEE PROFESSIONNEL CLAUDE NICOLAS LEDOUX;93057;LES PAVILLONS SOUS BOIS;public;LPO;77.6
2017-2018;CRETEIL;93;SEINE-SAINT-DENIS;0930834B;LYCEE GENERAL ET TECHNOLOGIQUE VOILLAUME;93005;AULNAY SOUS BOIS;public;LEGT;77.6
2017-2018;CRETEIL;93;SEINE-SAINT-DENIS;0930962R;LYCEE GENERAL PRIVE CHARLES PEGUY;93008;BOBIGNY;privé sous contrat;LEGT;98.6
2017-2018;CRETEIL;93;SEINE-SAINT-DENIS;0931272C;LYCEE GENERAL ET TECHNOLOGIQUE GUSTAVE EIFFEL;93032;GAGNY;public;LEGT;96.4
2017-2018;CRETEIL;93;SEINE-SAINT-DENIS;0931565W;LYCEE GENERAL ET TECHNOLOGIQUE FLORA TRISTAN;93051;NOISY LE GRAND;public;LEGT;108.7
2017-2018;CRETEIL;93;SEINE-SAINT-DENIS;0931573E;LYCEE PROFESSIONNEL PRIVE ROBERT SCHUMAN;93030;DUGNY;privé sous contrat;LP;115.6
2017-2018;CRETEIL;93;SEINE-SAINT-DENIS;0931735F;LYCEE PROFESSIONNEL LOUISE MICHEL LYCEE DES METIERS DE LA VENTE ET DU COMMERCE;93031;EPINAY SUR SEINE;public;LPO;75
2017-2018;CRETEIL;93;SEINE-SAINT-DENIS;0931812P;LYCEE GENERAL PRIVE SAINT LOUIS SAINTE CLOTILDE;93062;LE RAINCY;privé sous contrat;LEGT;125.2
2017-2018;CRETEIL;93;SEINE-SAINT-DENIS;0932046U;LYCEE POLYVALENT LEONARD DE VINCI LYCEE DES METIERS DU TRANSPORT;93073;TREMBLAY EN FRANCE;public;LPO;97.7
2017-2018;CRETEIL;93;SEINE-SAINT-DENIS;0932122B;LYCEE POLYVALENT D ALEMBERT;93001;AUBERVILLIERS;public;LP;72
2017-2018;CRETEIL;93;SEINE-SAINT-DENIS;0932303Y;LYCEE GENERAL PRIVE MERKAZ HATORAH FILLES;93062;LE RAINCY;privé sous contrat;LEGT;144
2017-2018;CRETEIL;93;SEINE-SAINT-DENIS;0932577W;LYCEE GERMAINE TILLION;93013;LE BOURGET;public;LEGT;87
2017-2018;CRETEIL;93;SEINE-SAINT-DENIS;0932654E;LYCEE GENERAL PRIVE SAINTE MARIE;93072;STAINS;privé sous contrat;LEGT;92.9
2017-2018;CRETEIL;94;VAL-DE-MARNE;0940119U;LYCEE POLYVALENT PAUL DOUMER;94058;LE PERREUX SUR MARNE;public;LEGT;124.6
2017-2018;CRETEIL;94;VAL-DE-MARNE;0940126B;LYCEE POLYVALENT MAXIMILIEN PERRET;94002;ALFORTVILLE;public;LPO;92.7
2017-2018;CRETEIL;94;VAL-DE-MARNE;0940743X;LYCEE POLYVALENT GEORGES BRASSENS;94077;VILLENEUVE LE ROI;public;LPO;95.4
2017-2018;CRETEIL;94;VAL-DE-MARNE;0940885B;LYCEE GENERAL PRIVE SAINT ANDRE;94022;CHOISY LE ROI;privé sous contrat;LEGT;110.4
2017-2018;CRETEIL;94;VAL-DE-MARNE;0941355M;LYCEE POLYVALENT PAUL BERT;94046;MAISONS ALFORT;public;LP;85.4
2017-2018;CRETEIL;94;VAL-DE-MARNE;0941413A;LYCEE POLYVALENT LEON BLUM;94028;CRETEIL;public;LPO;98.1
2017-2018;CRETEIL;94;VAL-DE-MARNE;0941470M;LYCEE GENERAL ET TECHNOLOGIQUE SAMUEL DE CHAMPLAIN;94019;CHENNEVIERES SUR MARNE;public;LEGT;113.3
2017-2018;CRETEIL;94;VAL-DE-MARNE;0941474S;LYCEE POLYVALENT DARIUS MILHAUD;94043;LE KREMLIN BICETRE;public;LPO;91.1
2017-2018;CRETEIL;94;VAL-DE-MARNE;0941604H;LYCEE PROFESSIONNEL SAMUEL DE CHAMPLAIN LYCEE DES METIERS DE LA CONSTRUCTION ET DE LA GESTION IMMOBILIERE;94019;CHENNEVIERES SUR MARNE;public;LP;87.5
2017-2018;CRETEIL;94;VAL-DE-MARNE;0941711Z;LYCEE GENERAL PRIVE OZAR HATORAH FILLES;94028;CRETEIL;privé sous contrat;LEGT;116.7
2017-2018;CRETEIL;94;VAL-DE-MARNE;0941952L;LYCEE POLYVALENT FRANCOIS ARAGO;94078;VILLENEUVE SAINT GEORGES;public;LPO;83.8
2017-2018;CRETEIL;94;VAL-DE-MARNE;0941972H;LYCEE POLYVALENT FERNAND LEGER LYCEE DES METIERS DE LA MAINTENANCE ET DE L APRES VENTE AUTOMOBILE;94041;IVRY SUR SEINE;public;LPO;84.3
2017-2018;CRETEIL;94;VAL-DE-MARNE;0941974K;LYCEE POLYVALENT ROBERT SCHUMAN;94018;CHARENTON LE PONT;public;LPO;112.5
2017-2018;CRETEIL;94;VAL-DE-MARNE;0942269F;LYCEE PAULINE ROLAND;94021;CHEVILLY LARUE;public;LPO;97.4
2017-2018;CRETEIL;94;VAL-DE-MARNE;0942355Z;LP ENSEMBLE SAINTE MARIE;94042;JOINVILLE LE PONT;privé sous contrat;LP;121.2
2017-2018;CRETEIL;94;VAL-DE-MARNE;0942376X;LYCEE GENERAL PRIVE COURS DU HAMEAU;94073;THIAIS;privé sous contrat;LEGT;110.6
2017-2018;VERSAILLES;95;VAL-D'OISE;0950640E;LYCEE GENERAL ET TECHNOLOGIQUE JULIE VICTOIRE DAUBIE;95018;ARGENTEUIL;public;LEGT;104.2
2017-2018;VERSAILLES;95;VAL-D'OISE;0950649P;LYCEE POLYVALENT CAMILLE PISSARRO LYCEE DES METIERS DE LA SANTE DU SOCIAL ET DE L AIDE AUX PERSONNES;95500;PONTOISE;public;LPO;109.1
2017-2018;VERSAILLES;95;VAL-D'OISE;0950651S;LYCEE GENERAL ET TECHNOLOGIQUE JACQUES PREVERT;95607;TAVERNY;public;LEGT;123.1
2017-2018;VERSAILLES;95;VAL-D'OISE;0950657Y;LYCEE PROFESSIONNEL FERDINAND BUISSON;95219;ERMONT;public;LP;81.6
2017-2018;VERSAILLES;95;VAL-D'OISE;0950709E;LYCEE PROFESSIONNEL VIRGINIA HENDERSON LYCEE DES METIERS DES SERVICES A LA PERSONNE ET A L ENTREPRISE;95019;ARNOUVILLE;public;LP;78.5
2017-2018;VERSAILLES;95;VAL-D'OISE;0950759J;LYCEE GENERAL ET TECHNOLOGIQUE PRIVE NOTRE DAME DE BURY;95369;MARGENCY;privé sous contrat;LEGT;143.8
2017-2018;VERSAILLES;95;VAL-D'OISE;0950804H;LYCEE PROFESSIONNEL PRIVE NOTRE FAMILLE;95476;OSNY;privé sous contrat;LP;118
2017-2018;VERSAILLES;95;VAL-D'OISE;0951282C;LYCEE PROFESSIONNEL DU VEXIN LYCEE DES METIERS DE LA SECURITE ET DE LA PREVETION;95142;CHARS;public;LP;92
2017-2018;VERSAILLES;95;VAL-D'OISE;0951722F;LYCEE POLYVALENT JEAN MONNET;95252;FRANCONVILLE;public;LEGT;106.8
2017-2018;VERSAILLES;95;VAL-D'OISE;0951748J;LYCEE POLYVALENT EVARISTE GALOIS;95052;BEAUMONT SUR OISE;public;LPO;101.3
2017-2018;VERSAILLES;95;VAL-D'OISE;0952173W;LYCEE POLYVALENT EUGENE RONCERAY;95063;BEZONS;public;LPO;86.7
2017-2018;CORSE;;CORSE-DU-SUD;6200003J;LYCEE PROFESSIONNEL JULES ANTONINI LYCEES DES METIERS DE LA TRANSITION ENERGETIQUE EN CORSE;;AJACCIO;public;LP;92.4
2017-2018;CORSE;;HAUTE-CORSE;7200009X;LYCEE GENERAL ET TECHNOLOGIQUE GIOCANTE DE CASABIANCA BASTIA;;BASTIA;public;LEGT;113.9
2017-2018;CORSE;;HAUTE-CORSE;7200021K;LYCEE GENERAL ET TECHNOLOGIQUE PASCAL PAOLI CORTE;;CORTE;public;LEGT;110.5
2017-2018;CORSE;;HAUTE-CORSE;7200093N;LYCEE PROFESSIONNEL JEAN NICOLI BASTIA;;BASTIA;public;LP;84.6
2017-2018;GUADELOUPE;971;GUADELOUPE;9710003B;LYCEE GENERAL ET TECHNOLOGIQUE BAIMBRIDGE;97101;LES ABYMES;public;LEGT;92.9
2017-2018;GUADELOUPE;971;GUADELOUPE;9710052E;LYCEE PROFESSIONNEL LOUIS DELGRES LYCEE DES METIERS DE L ENVIRONNEMENT ET DE L AMENAGEMENT DU BATIMENT;97117;LE MOULE;public;LPO;72.2
2017-2018;GUADELOUPE;971;GUADELOUPE;9710062R;LYCEE GENERAL ET TECHNOLOGIQUE PRIVE LA PERSEVERANCE;97120;POINTE A PITRE;privé sous contrat;LEGT;103.7
2017-2018;GUADELOUPE;971;GUADELOUPE;9710593T;LYCEE PROFESSIONNEL PRIVE SAINT JOSEPH DE CLUNY;97103;BAIE MAHAULT;privé sous contrat;LP;87.2
2017-2018;GUADELOUPE;971;GUADELOUPE;9710940V;LYCEE GENERAL ET TECHNOLOGIQUE SONNY RUPAIRE;97129;SAINTE ROSE;public;LEGT;99.6
2017-2018;GUADELOUPE;971;GUADELOUPE;9710981P;LYCEE POLYVALENT ILES DU NORD;97801;SAINT MARTIN;public;LP;73.8
2017-2018;GUADELOUPE;971;GUADELOUPE;9711032V;LYCEE POLYVALENT CHARLES COEFFIN;97103;BAIE MAHAULT;public;LPO;110.6
2017-2018;GUADELOUPE;971;GUADELOUPE;9711046K;LYCEE POLYVALENT CHEVALIER DE SAINT GEORGES;97101;LES ABYMES;public;LPO;85.6
2017-2018;MARTINIQUE;972;MARTINIQUE;9720002V;LYCEE GENERAL ET TECHNOLOGIQUE VICTOR SCHOELCHER;97209;FORT DE FRANCE;public;LEGT;103.3
2017-2018;MARTINIQUE;972;MARTINIQUE;9720091S;LYCEE PROFESSIONNEL LEOPOLD BISSOL (LYCE;97213;LE LAMENTIN;public;LP;73.2
2017-2018;MARTINIQUE;972;MARTINIQUE;9720350Y;LYCEE GENERAL ET TECHNOLOGIQUE FRANTZ FANON;97230;LA TRINITE;public;LEGT;94.2
2017-2018;MARTINIQUE;972;MARTINIQUE;9720430K;LYCEE PROFESSIONNEL;97230;LA TRINITE;public;LP;73.6
2017-2018;GUYANE;973;GUYANE;9730094P;LYCEE PROFESSIONNEL JEAN MARIE MICHOTTE;97302;CAYENNE;public;LP;68.8
2017-2018;GUYANE;973;GUYANE;9730425Z;LYCEE PROFESSIONNEL RAYMOND TARCY;97311;SAINT LAURENT DU MARONI;public;LP;56.4
2017-2018;LA REUNION;974;LA REUNION;9740015Y;LYCEE PROFESSIONNEL LYCEE DES METIERS DU COMMERCE ET DE LA DISTRIBUTION;97415;SAINT PAUL;public;LP;64.5
2017-2018;LA REUNION;974;LA REUNION;9740552G;LYCEE PROFESSIONNEL LEON DE LEPERVANCHE;97407;LE PORT;public;LP;62.8
2017-2018;LA REUNION;974;LA REUNION;9740737H;LYCEE PROFESSIONNEL DE L HORIZON;97411;SAINT DENIS;public;LP;65.8
2017-2018;LA REUNION;974;LA REUNION;9740787M;LYCEE GENERAL ET TECHNOLOGIQUE ANTOINE ROUSSIN;97414;SAINT LOUIS;public;LEGT;75.7
2017-2018;LA REUNION;974;LA REUNION;9740921H;LYCEE PROFESSIONNEL ISNELLE AMELIN;97418;SAINTE MARIE;public;LP;66.2
2017-2018;LA REUNION;974;LA REUNION;9740979W;LYCEE POLYVALENT JEAN HINGLO LYCEE DES METIERS DU BATIMENT ET DES TRAVAUX PUBLICS;97407;LE PORT;public;LPO;74
2017-2018;LA REUNION;974;LA REUNION;9741182S;LYCEE POLYVALENT JEAN JOLY;97414;SAINT LOUIS;public;LPO;89.2
2017-2018;LA REUNION;974;LA REUNION;9741206T;LYCEE POLYVALENT DE BOIS D OLIVE;97416;SAINT PIERRE;public;LPO;82.2
2017-2018;LA REUNION;974;LA REUNION;9741230U;LYCEE GENERAL ET TECHNOLOGIQUE VINCENDO;97412;SAINT JOSEPH;public;LPO;83.9
2017-2018;LA REUNION;974;LA REUNION;9741231V;LYCEE POLYVALENT MARIE CURIE LYCEE DES METIERS DE LA SANTE ET DU SOCIAL;97410;SAINT BENOIT;public;LPO;81.5
2017-2018;LA REUNION;974;LA REUNION;9741233X;LYCEE POLYVALENT NELSON MANDELA;97410;SAINT BENOIT;public;LPO;65.5
2017-2018;LA REUNION;974;LA REUNION;9741380G;LYCEE POLYVALENT DE ST PAUL 4;97415;SAINT PAUL;public;LPO;91.9
2017-2018;MAYOTTE;976;MAYOTTE;9760316P;LPO TANI MALANDI;97606;CHIRONGUI;public;LPO;70.5
2018-2019;LYON;01;AIN;0010006B;LYCEE POLYVALENT SAINT EXUPERY LYCEE DES METIERS DE L HOTELLERIE ET DES SERVICES LYCEE DES METIERS DES ENERGIES DU BATIMENT;01033;BELLEGARDE SUR VALSERINE;public;LPO;96.2
2018-2019;LYON;01;AIN;0010014K;LYCEE GENERAL ET TECHNOLOGIQUE EDGAR QUINET;01053;BOURG EN BRESSE;public;LEGT;110.9
2018-2019;LYON;01;AIN;0010021T;LYCEE PROFESSIONNEL MARCELLE PARDE LYCEE DES METIERS DU RESEAU TEXTILE MODE CUIR;01053;BOURG EN BRESSE;public;LP;88.3
2018-2019;LYON;01;AIN;0010072Y;LYCEE POLYVALENT INTERNATIONAL;01160;FERNEY VOLTAIRE;public;LPO;123.6
2018-2019;LYON;01;AIN;0010075B;LYCEE GENERAL ET TECHNOLOGIQUE PRIVE SAINT JOSEPH;01249;MIRIBEL;privé sous contrat;LEGT;127.3
2018-2019;LYON;01;AIN;0011119L;LYCEE POLYVALENT ARBEZ CARME LYCEE DES METIERS DE LA PLASTURGIE ET DES OUTILLAGES;01031;BELLIGNAT;public;LPO;101.8
2018-2019;AMIENS;02;AISNE;0020022N;LYCEE PROFESSIONNEL JEAN MONNET;02304;LA FERE;public;LP;77.6
2018-2019;AMIENS;02;AISNE;0020025S;LYCEE PROFESSIONNEL CHATEAU POTEL LYCEE DES METIERS HORTICULTURE ET MAINTENANCE (VEHICULES INDUSTRIELS MATERIELS AGRICOLES ET TRAVAUX PUBLICS);02307;LA FERTE MILON;public;LP;84.1
2018-2019;AMIENS;02;AISNE;0020031Y;LYCEE D ENSEIGNEMENT GENERAL ET TECHNOLOGIQUE FREDERIC ET IRENE JOLIOT CURIE;02381;HIRSON;public;LEGT;94.9
2018-2019;AMIENS;02;AISNE;0020048S;LYCEE GENERAL ET TECHNOLOGIQUE HENRI MARTIN;02691;SAINT QUENTIN;public;LEGT;99.5
2018-2019;AMIENS;02;AISNE;0020049T;LYCEE GENERAL ET TECHNOLOGIQUE PIERRE DE LA RAMEE;02691;SAINT QUENTIN;public;LEGT;100.7
2018-2019;AMIENS;02;AISNE;0020088K;LYCEE PROFESSIONNEL CAMILLE CLAUDEL LYCEE DES METIERS DE L OPTIQUE ET DU TERTIAIRE;02722;SOISSONS;public;LP;79
2018-2019;AMIENS;02;AISNE;0021869W;LYCEE D ENSEIGNEMENT GENERAL ET TECHNOLOGIQUE PRIVE SAINT JOSEPH;02168;CHATEAU THIERRY;privé sous contrat;LEGT;109
2018-2019;AMIENS;02;AISNE;0021870X;LYCEE D ENSEIGNEMENT GENERAL PRIVE SAINT CHARLES LYCEE DES METIERS DE LA SECURITE ET DE LA MAINTENANCE;02173;CHAUNY;privé sous contrat;LEGT;106.8
2018-2019;AMIENS;02;AISNE;0021871Y;LYCEE GENERAL ET TECHNOLOGIQUE PRIVE SAINT JOSEPH;02321;FONTAINE LES VERVINS;privé sous contrat;LEGT;110.6
2018-2019;AMIENS;02;AISNE;0021872Z;LYCEE GENERAL ET TECHNOLOGIQUE PRIVE LA PROVIDENCE;02408;LAON;privé sous contrat;LEGT;113.2
2018-2019;AMIENS;02;AISNE;0021874B;LYCEE GENERAL ET TECHNOLOGIQUE PRIVE SAINT REMY;02722;SOISSONS;privé sous contrat;LEGT;113.9
2018-2019;AMIENS;02;AISNE;0022108F;LYCEE GENERAL ET TECHNOLOGIQUE PRIVE SAINT VINCENT DE PAUL;02722;SOISSONS;privé sous contrat;LEGT;112.5
2018-2019;CLERMONT-FERRAND;03;ALLIER;0030036Y;LYCEE GENERAL THEODORE DE BANVILLE;03190;MOULINS;public;LEGT;115.6
2018-2019;CLERMONT-FERRAND;03;ALLIER;0030044G;LYCEE GENERAL BLAISE DE VIGENERE;03254;SAINT POURCAIN SUR SIOULE;public;LEGT;109.2
2018-2019;CLERMONT-FERRAND;03;ALLIER;0030061A;LYCEE PROFESSIONNEL ALBERT LONDRES LYCEE DES METIERS DU BOIS DES ENERGIES ET DES SERVICES AUX ORGANISATIONS;03095;CUSSET;public;LP;85
2018-2019;CLERMONT-FERRAND;03;ALLIER;0030105Y;LYCEE PROFESSIONNEL PRIVE SAINTE LOUISE;03185;MONTLUCON;privé sous contrat;LP;75.1
2018-2019;CLERMONT-FERRAND;03;ALLIER;0031082K;LYCEE POLYVALENT VALERY LARBAUD;03095;CUSSET;public;LPO;92
2018-2019;AIX-MARSEILLE;04;ALPES-DE-HTE-PROVENCE;0040023D;LYCEE POLYVALENT PAUL ARENE LYCEE DES METIERS DE L HOTELLERIE ET DE LA RESTAURATION DES ALPES PROVENCALES;04209;SISTERON;public;LPO;107.8
2018-2019;AIX-MARSEILLE;04;ALPES-DE-HTE-PROVENCE;0040533H;LYCEE POLYVALENT LES ISCLES;04112;MANOSQUE;public;LPO;118.2
2018-2019;AIX-MARSEILLE;04;ALPES-DE-HTE-PROVENCE;0040543U;ECOLE INTERNATIONALE PROVENCE ALPES COTE D AZUR;04112;MANOSQUE;public;LEGT;141.5
2018-2019;AIX-MARSEILLE;05;HAUTES-ALPES;0050003B;LYCEE POLYVALENT D ALTITUDE;05023;BRIANCON;public;LPO;114.9
2018-2019;AIX-MARSEILLE;05;HAUTES-ALPES;0050006E;LYCEE GENERAL ET TECHNOLOGIQUE DOMINIQUE VILLARS;05061;GAP;public;LEGT;119.8
2018-2019;NICE;06;ALPES-MARITIMES;0060011E;LYCEE GENERAL CARNOT;06029;CANNES;public;LEGT;108
2018-2019;NICE;06;ALPES-MARITIMES;0060026W;LYCEE GENERAL ET TECHNOLOGIQUE PIERRE ET MARIE CURIE;06083;MENTON;public;LEGT;101.7
2018-2019;NICE;06;ALPES-MARITIMES;0060042N;LYCEE PROFESSIONNEL LES PALMIERS;06088;NICE;public;LP;84.7
2018-2019;NICE;06;ALPES-MARITIMES;0060082G;LYCEE PROFESSIONNEL LES EUCALYPTUS LYCEE DES SCIENCES APPLIQUEES AUX METIERS DE L INDUSTRIE;06088;NICE;public;LP;92.6
2018-2019;NICE;06;ALPES-MARITIMES;0060674A;LYCEE GENERAL ET TECHNOLOGIQUE PRIVE FENELON;06069;GRASSE;privé sous contrat;LEGT;142.4
2018-2019;NICE;06;ALPES-MARITIMES;0060750H;LYCEE POLYVALENT PRIVE INSTITUTION SAINT JOSEPH CARNOLES;06104;ROQUEBRUNE CAP MARTIN;privé sous contrat;LPO;104.2
2018-2019;NICE;06;ALPES-MARITIMES;0060773H;LYCEE GENERAL ET TECHNOLOGIQUE PRIVE DON BOSCO;06088;NICE;privé sous contrat;LEGT;128.4
2018-2019;NICE;06;ALPES-MARITIMES;0060776L;LYCEE PROFESSIONNEL PRIVE SAINT VINCENT DE PAUL LYCEE DES METIERS DU TERTIAIRE;06088;NICE;privé sous contrat;LP;100.1
2018-2019;NICE;06;ALPES-MARITIMES;0062015H;LYCEE GENERAL ET TECHNOLOGIQUE SIMONE VEIL;06152;VALBONNE;public;LEGT;136.4
2018-2019;GRENOBLE;07;ARDECHE;0070001N;LYCEE POLYVALENT PUBLIC BOISSY D ANGLAS LYCEE DES METIERS DE LA CREATION INDUSTRIELLE;07010;ANNONAY;public;LPO;103.1
2018-2019;GRENOBLE;07;ARDECHE;0070003R;LYCEE POLYVALENT MARCEL GIMOND;07019;AUBENAS;public;LPO;108.4
2018-2019;GRENOBLE;07;ARDECHE;0070021K;LYCEE POLYVALENT VINCENT D INDY;07186;PRIVAS;public;LPO;110.7
2018-2019;GRENOBLE;07;ARDECHE;0070115M;LYCEE PROFESSIONNEL PRIVE JULES FROMENT LYCEE DES METIERS DU COMMERCE DES SERVICES DE LA SANTE ET DU SOCIAL;07019;AUBENAS;privé sous contrat;LP;94.1
2018-2019;REIMS;08;ARDENNES;0080039Z;LYCEE POLYVALENT PAUL VERLAINE;08362;RETHEL;public;LPO;94
2018-2019;REIMS;08;ARDENNES;0081047V;LYCEE POLYVALENT BAZEILLES LYCEE DES METIERS DE L HOTELLERIE RESTAURATION ET DU TOURISME;08053;BAZEILLES;public;LPO;93.9
2018-2019;TOULOUSE;09;ARIEGE;0090013R;LYCEE POLYVALENT;09194;MIREPOIX;public;LPO;100.2
2018-2019;TOULOUSE;09;ARIEGE;0090018W;LYCEE GENERAL DU COUSERANS;09261;SAINT GIRONS;public;LEGT;107.9
2018-2019;REIMS;10;AUBE;0100022V;LYCEE GENERAL ET TECHNOLOGIQUE CHRESTIEN DE TROYES;10387;TROYES;public;LEGT;107.8
2018-2019;REIMS;10;AUBE;0100046W;LYCEE GENERAL PRIVE SAINT FRANCOIS DE SALES;10387;TROYES;privé sous contrat;LEGT;131.1
2018-2019;REIMS;10;AUBE;0101015Z;LYCEE PROFESSIONNEL PRIVE LA SALLE LYCEE DES METIERS DU BATIMENT PERFORMANT DU DESIGN ET DE LA COMMUNICATION DIGITALE;10387;TROYES;privé sous contrat;LP;96.6
2018-2019;MONTPELLIER;11;AUDE;0110022P;LYCEE GENERAL ET TECHNOLOGIQUE DOCTEUR LACROIX;11262;NARBONNE;public;LEGT;105.6
2018-2019;MONTPELLIER;11;AUDE;0111048E;LYCEE POLYVALENT ERNEST FERROUL;11203;LEZIGNAN CORBIERES;public;LPO;97.2
2018-2019;TOULOUSE;12;AVEYRON;0120006S;LYCEE POLYVALENT LA DECOUVERTE;12089;DECAZEVILLE;public;LPO;102.2
